読み方	日本語	英語
けいと	毛糸	woolen yarn, wool
けがわ	毛皮	fur
もうふ	毛布	blanket
け	毛	hair, wool
ひかくてき	比較的	comparatively, relatively
ひかく	比較	comparison
ひりつ	比率	ratio, percentage
ひれい	比例	proportion, ratio
くらべる	比べる	compare, contrast
どく	毒	poison, harm
まいしゅう	毎週	every week
まいあさ	毎朝	every morning
まいつき	毎月	every month
まいばん	毎晩	every evening
まいにち	毎日	every day
まいど	毎度	every time, always
まいとし	毎年	every year
まいねん	毎年	every year
ははおや	母親	mother
はは	母	(speaker's)mother
さつじん	殺人	murder, homicide
ころす	殺す	kill, smother
だんかい	段階	stage
だんらく	段落	end of paragraph
だんだん	段々	gradually, one after another
だん	段	step, grade
なぐる	殴る	hit, strike
ざんぎょう	残業	overtime
ざんしょ	残暑	lingering summer heat
ざんねん	残念	regretful, disappointing
のこる	残る	remain, be left over
のこり	残り	remainder, leftover
のこらず	残らず	entirely, without exception
のこす	残す	leave, reserve, leave undone
ことに	殊に	especially, exceptionally
ししゃ	死者	dead person, the deceased
したい	死体	corpse, body
しぼう	死亡	death
しぬ	死ぬ	die
し	死	death
れきしてき	歴史的	historical
れきし	歴史	history
さいまつ	歳末	year end
しか	歯科	dentistry
はみがき	歯磨き	toothpaste, brushing one's teeth
はいしゃ	歯医者	dentist
はぶらし	歯ブラシ	toothbrush
は	歯	tooth, cog
ほどう	歩道	sidewalk, footpath
ほこうしゃてんごく	歩行者天国	vehicle-free promenade
ほこうしゃ	歩行者	pedestrian
あるく	歩く	walk, go on foot
ぶし	武士	samurai, warrior
ぶき	武器	weapon, arms
しょうめん	正面	front, face
せいもん	正門	main gate, main entrance
せいかい	正解	right answer, correct solution
せいぎ	正義	justice, righteousness
せいかく	正確	accurate, precise
しょうじき	正直	honest, upright
しょうがつ	正月	New Year
せいほうけい	正方形	square
せいとう	正当	just, legal
せいしき	正式	formal, regular
せいざ	正座	sitting upright with legs folded under one
せいじょう	正常	normality, normalcy
しょうご	正午	noon, noontime
まさに	正に	just, surely
ただしい	正しい	correct, righteous, lawful
せい	正	right, positiveness
とめる	止める	stop, turn off
やめる	止める	stop, give up, abolish
やむ	止む	stop, abate
とまる	止まる	come to a stop, cease
かんげい	歓迎	welcome
かぶき	歌舞伎	kabuki
かしゅ	歌手	singer
うたごえ	歌声	singing voice
うたう	歌う	sing
うた	歌	song
よっきゅう	欲求	want, desire
よくぼう	欲望	desire, craving
よくばり	欲張り	greed, greedy
ほしがる	欲しがる	desire, wish for, covet
ほしい	欲しい	want, desire
よく	欲	desire, greed
おうべい	欧米	Europe and America
しだいに	次第に	gradually, by degrees
しだい	次第	as soon as
じなん	次男	second son
じじょ	次女	second daughter
じかい	次回	next time
つぐ	次ぐ	rank next to, come next
つぎつぎに	次々に	one after another, in succession
つぎ	次	next
けってん	欠点	weak point, defect
けっせき	欠席	absence, nonattendance
かける	欠ける	be chipped, be missing
かく	欠く	lack
らん	欄	column, field
きかん	機関	engine, agency
きちょう	機長	airplane captain
きのう	機能	function, feature
きかい	機械	machine
きげん	機嫌	mood, health
きかい	機会	opportunity, occasion
はし	橋	bridge
よこがお	横顔	profile, face seen from side
よこがき	横書き	horizontal writing
おうだんほどう	横断歩道	pedestrian crossing, crosswalk
おうだん	横断	crossing, traversing
よこぎる	横切る	cross, go across
よこ	横	side, width across
けんい	権威	authority, power
けんりょく	権力	power, authority
けんり	権利	right, privilege
もはん	模範	model, role model
もよう	模様	pattern, design
ひょうじゅん	標準	standard, norm
ようす	様子	appearance, aspect
さまざま	様々	various, diverse
こうぞう	構造	construction, structure
こうせい	構成	organization
こうそう	構想	conception, design
かまえる	構える	set up (shop)
かまう	構う	mind, care for
がいねん	概念	general idea, concept
がっき	楽器	musical instrument
たのしむ	楽しむ	enjoy
たのしみ	楽しみ	pleasure, something looked forward to
たのしい	楽しい	fun, enjoyable
らく	楽	comfort, relief
きょくたん	極端	extreme
きわめて	極めて	extremely, very
ぎょうしゃ	業者	businessman
ぎょうせき	業績	achievement, performance
ぎょうかい	業界	industry, business world
けんとう	検討	consideration, inspection
けんさ	検査	inspection, examination
しょくぶつえん	植物園	botanical garden
しょくぶつ	植物	plant, vegetation
しょくみんち	植民地	colony, settlement
うえき	植木	garden plant, shrub
うえる	植える	plant, raise
いす	椅子	chair
しんりん	森林	forest, woodland
もり	森	thick woods, forest
たな	棚	cupboard, shelf, rack
ぼう	棒	rod, stick
きけん	棄権	dropping out, renouncing rights
つゆあけ	梅雨明け	end of the rainy season
つゆいり	梅雨入り	start of the rainy season
つゆ	梅雨	rainy season
うめぼし	梅干	pickled plum
うめ	梅	plum blossom
さくら	桜	cherry tree, cherry blossom
あんがい	案外	unexpectedly
あんない	案内	guide, inform
あんのじょう	案の定	as feared, sure enough
あん	案	plan, proposal
もも	桃	peach, peach tree
さいばい	栽培	cultivation, raising
かくさ	格差	gap, disparity
かっこう	格好	shape, appearance
こんぽん	根本	basis, root
こんきょ	根拠	grounds, basis
ね	根	root, source
かく	核	core, atomic nucleus
かぶしき	株式	stock
かぶ	株	stocks, shares
こうちょう	校長	principal, schoolmaster
こうしゃ	校舎	school building
こうてい	校庭	schoolyard, campus
せんぬき	栓抜き	bottle opener, corkscrew
えいよう	栄養	nutrition, nourishment
さかえる	栄える	flourish, thrive
かき	柿	persimmon, persimmon tree
はしら	柱	pillar, prop
じゅうどう	柔道	judo
じゅうなん	柔軟	pliable, flexible
やわらかい	柔らかい	soft
やわらかい	柔らかい	soft, gentle
やわらか	柔らか	soft, tender, gentle
そめる	染める	dye, color
がら	柄	pattern, design
え	柄	handle, grip
かれる	枯れる	wither, die
わく	枠	frame, limits
えだ	枝	branch, twig
くだもの	果物	fruit
はたす	果たす	accomplish, realize
はたして	果たして	as was expected, really
まいすう	枚数	number of flat things
はやし	林	woods, grove
まくら	枕	pillow
いた	板	board, plank
とうざい	東西	east and west
とうよう	東洋	Orient
ひがし	東	east, eastern
らいしゅう	来週	next week
らいげつ	来月	next month
らいにち	来日	coming to Japan
らいねん	来年	next year
くる	来る	come
じょうやく	条約	treaty
じょうけん	条件	condition, item
たば	束	bundle, counter for bundles
むら	村	village, hamlet
ざいもく	材木	timber, wood
ざいりょう	材料	material, factor
つくえ	机	desk, table
さつ	札	bill, paper money
ふだ	札	sign, billboard
ほんぶ	本部	head office, headquarters
ほんしつ	本質	essence, reality
ほんのう	本能	instinct
ほんばこ	本箱	bookcase
ほんしゃ	本社	head office
ほんもの	本物	real thing, genuine article
ほんき	本気	seriousness, earnestness
ほんだな	本棚	bookshelf
ほんかくてき	本格的	full-scale, authentic
ほんらい	本来	originally, essentially
ほんじつ	本日	today
ほんぶん	本文	text, this text
ほんとうに	本当に	really, truly
ほんとう	本当	truth, reality
ほんてん	本店	head office
ほんねん	本年	this year
ほんや	本屋	bookstore, bookseller
ほんごく	本国	one's native country
ほんにん	本人	the person himself, the said person
ほん	本	book, volume
すえっこ	末っ子	youngest child
すえ	末	(after) the end
まつ	末	last part, end
みち	未知	unknown
みらい	未来	future
みせいねん	未成年	minor, underage
みてい	未定	undecided, pending
みこん	未婚	unmarried
まだ	未だ	yet, more
もくぞう	木造	wooden
もめん	木綿	cotton
こがらし	木枯らし	cold wintry wind
もくようび	木曜日	Thursday
このは	木の葉	tree leaves
き	木	tree, wood
きげん	期限	time limit, term
きかん	期間	term, period
きじつ	期日	date, due date
きたい	期待	expectation, anticipation
ちょうしょく	朝食	breakfast
あさがお	朝顔	morning glory
あさひ	朝日	morning sun
あさごはん	朝御飯	breakfast
ちょうかん	朝刊	morning edition
あさ	朝	morning
のぞむ	望む	desire, hope
のぞみ	望み	desire, hope
のぞましい	望ましい	desirable, welcome
ほがらか	朗らか	cheerful, bright
ふくそう	服装	clothes, garments
ふく	服	clothes
ゆうげん	有限	limited, finite
ゆうのう	有能	able, competent
ゆうえき	有益	beneficial, profitable
ゆうどく	有毒	poisonous, noxious
ゆうぼう	有望	promising, hopeful
ゆうりょう	有料	fee-charging, pay
ゆうがい	有害	harmful, hazardous
ゆうめい	有名	famous
ゆうこう	有効	effective, valid
ゆうりょく	有力	powerful, influential
ゆうり	有利	advantageous, profitable
ある	有る	exist, possess
ありがたい	有り難い	welcome, grateful
ありのまま	有りのまま	as it is, unchanged
ゆうする	有する	have, possess
げっしゃ	月謝	monthly fee
つきみ	月見	moon viewing
げっきゅう	月給	monthly salary
げつまつ	月末	end of the month
げつようび	月曜日	Monday
つきひ	月日	time, days
がっぴ	月日	date
つきよ	月夜	moonlit night
つきはじめ	月初め	at the beginning of the month
げっかん	月刊	published monthly
つき	月	moon
さいこう	最高	maximum, supreme
さいてき	最適	optimum
さいきん	最近	late, recent
さいしゅう	最終	last, final
さいあく	最悪	the worst
さいご	最後	last, final
さいきょう	最強	strongest
さいしょう	最小	the smallest, minimum
さいだい	最大	biggest, largest
さいしょ	最初	first, outset
さいせんたん	最先端	cutting edge, forefront
さいてい	最低	lowest
さいちゅう	最中	in the middle of, during
さいじょう	最上	best, highest
もっとも	最も	the most
しょるい	書類	documents, papers
しょどう	書道	Japanese calligraphy
かきとめ	書留	registered mail
しょもつ	書物	book, volume
しょてん	書店	bookstore
かく	書く	write
かきことば	書き言葉	written language
かきなおす	書き直す	rewrite
かきかた	書き方	how to write, way of writing
かきとる	書き取る	write down, note down
かきとり	書き取り	dictation
